,Brand_name,Trend_Total_Reviews,Month,Year,%positive
629,colors,7,1,2017,71.42857142857143
630,colors,26,2,2017,61.53846153846154
631,colors,12,3,2017,83.33333333333334
632,colors,4,4,2017,100.0
633,colors,1,5,2017,100.0
634,colors,3,6,2017,66.66666666666666
635,colors,2,8,2017,100.0
636,colors,1,10,2017,100.0
637,colors,8,11,2017,87.5
638,colors,5,12,2017,80.0
639,smokey,1,4,2017,0.0
640,menow,20,1,2017,70.0
641,menow,17,2,2017,64.70588235294117
642,menow,14,3,2017,50.0
643,menow,26,4,2017,80.76923076923077
644,menow,20,5,2017,85.0
645,menow,27,6,2017,92.5925925925926
646,menow,20,7,2017,75.0
647,menow,9,8,2017,100.0
648,menow,6,9,2017,83.33333333333334
649,menow,17,10,2017,70.58823529411765
650,menow,5,11,2017,60.0
651,menow,7,12,2017,71.42857142857143
652,roseleaf,1,4,2017,100.0
653,anna,1,2,2017,100.0
654,anna,2,12,2017,100.0
655,milani,3,5,2017,66.66666666666666
656,milani,3,6,2017,33.33333333333333
657,nykaa,390,1,2017,89.23076923076924
658,nykaa,231,2,2017,81.38528138528139
659,nykaa,291,3,2017,81.78694158075601
660,nykaa,173,4,2017,94.79768786127167
661,nykaa,253,5,2017,87.35177865612648
662,nykaa,338,6,2017,86.09467455621301
663,nykaa,304,7,2017,89.47368421052632
664,nykaa,474,8,2017,90.92827004219409
665,nykaa,359,9,2017,85.51532033426183
666,nykaa,530,10,2017,89.81132075471699
667,nykaa,735,11,2017,87.48299319727892
668,nykaa,758,12,2017,89.9736147757256
669,wet,494,12,2017,80.5668016194332
670,l_a_girl,313,1,2017,85.94249201277955
671,l_a_girl,304,2,2017,84.86842105263158
672,l_a_girl,244,3,2017,85.24590163934425
673,l_a_girl,178,4,2017,83.70786516853933
674,l_a_girl,267,5,2017,87.64044943820225
